,Carcinoma_AGSCC_2_1.csv,Carcinoma_AGSCC_2_10.csv,Carcinoma_AGSCC_2_11.csv,Carcinoma_AGSCC_2_12.csv,Carcinoma_AGSCC_2_13.csv,Carcinoma_AGSCC_2_14.csv,Carcinoma_AGSCC_2_15.csv,Carcinoma_AGSCC_2_16.csv,Carcinoma_AGSCC_2_17.csv,Carcinoma_AGSCC_2_18.csv,Carcinoma_AGSCC_2_19.csv,Carcinoma_AGSCC_2_2.csv,Carcinoma_AGSCC_2_20.csv,Carcinoma_AGSCC_2_21.csv,Carcinoma_AGSCC_2_22.csv,Carcinoma_AGSCC_2_23.csv,Carcinoma_AGSCC_2_24.csv,Carcinoma_AGSCC_2_25.csv,Carcinoma_AGSCC_2_26.csv,Carcinoma_AGSCC_2_27.csv,Carcinoma_AGSCC_2_28.csv,Carcinoma_AGSCC_2_29.csv,Carcinoma_AGSCC_2_3.csv,Carcinoma_AGSCC_2_30.csv,Carcinoma_AGSCC_2_31.csv,Carcinoma_AGSCC_2_32.csv,Carcinoma_AGSCC_2_33.csv,Carcinoma_AGSCC_2_34.csv,Carcinoma_AGSCC_2_35.csv,Carcinoma_AGSCC_2_36.csv,Carcinoma_AGSCC_2_37.csv,Carcinoma_AGSCC_2_38.csv,Carcinoma_AGSCC_2_39.csv,Carcinoma_AGSCC_2_4.csv,Carcinoma_AGSCC_2_40.csv,Carcinoma_AGSCC_2_5.csv,Carcinoma_AGSCC_2_6.csv,Carcinoma_AGSCC_2_7.csv,Carcinoma_AGSCC_2_8.csv,Carcinoma_AGSCC_2_9.csv,Carcinoma_FAHNSCC_14_1.csv,Carcinoma_FAHNSCC_14_2.csv,Carcinoma_FAHNSCC_14_3.csv,Carcinoma_FAHNSCC_14_4.csv,Carcinoma_FAHNSCC_14_5.csv,Carcinoma_FAHNSCC_15_1.csv,Carcinoma_FAHNSCC_15_2.csv,Dysplasia-HG_FAHNSCC_15_1.csv,Dysplasia-HG_FAHNSCC_15_2.csv,Dysplasia-HG_FAHNSCC_15_3.csv,Dysplasia-HG_FAHNSCC_15_4.csv,Dysplasia-LG_FAHNSCC_15_1.csv,Dysplasia-LG_FAHNSCC_15_2.csv,Dysplasia-SFAAGSCC_13_1.csv,Dysplasia-SFAAGSCC_13_2.csv,Dysplasia-SFAAGSCC_13_3.csv,Dysplasia-SFAAGSCC_13_4.csv,Dysplasia-SFAAGSCC_13_5.csv,Dysplasia-SFAAGSCC_13_6.csv,Dysplasia-SFAAGSCC_13_7.csv,Dysplasia-SFAAGSCC_13_8.csv,Dysplasia_FAAGSCC_13_1.csv,Dysplasia_FAAGSCC_13_2.csv,Dysplasia_FAAGSCC_13_3.csv,Dysplasia_FAAGSCC_13_4.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1.csv,Stroma_ad_Carcinoma_AGSCC_2_1.csv,Stroma_ad_Carcinoma_AGSCC_2_10.csv,Stroma_ad_Carcinoma_AGSCC_2_2.csv,Stroma_ad_Carcinoma_AGSCC_2_3.csv,Stroma_ad_Carcinoma_AGSCC_2_4.csv,Stroma_ad_Carcinoma_AGSCC_2_5.csv,Stroma_ad_Carcinoma_AGSCC_2_6.csv,Stroma_ad_Carcinoma_AGSCC_2_7.csv,Stroma_ad_Carcinoma_AGSCC_2_8.csv,Stroma_ad_Carcinoma_AGSCC_2_9.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4.csv
Carcinoma_AGSCC_2_1.csv,0,3365.255798852204,2772.170405008111,2656.795544954611,3040.142344698428,2860.5094717613524,3248.8782421626975,3310.1233879815936,3712.8255419475045,2873.378083295602,3050.602001127181,1185.919409395286,2505.4666658740757,3090.1656901280758,3175.6426502392123,3441.177630681024,3982.203200725635,3851.8481032572213,2649.740070570757,2460.6593657024787,2990.6340375739933,2562.214996655104,1319.448352088316,3075.6753252887406,3051.097839043264,3855.6582820940966,2299.023778956607,2301.7891702066404,1813.527680775919,2991.659723,3149.987487416636,2776.795338657482,1776.7163739897273,3137.381161528723,3860.768596444268,3174.9950910405505,3553.504022227343,3419.3509487882234,3150.3008936695637,3169.5123717617907,4054.068776991541,4180.032393,4179.628973745606,2537.558356,3603.1383259046656,1394.6415991940264,1290.596429462015,3102.252095609901,1441.917409880305,1331.5825932176951,1745.7887396783856,2046.5346673182644,1744.084168932129,2108.5809886426246,1787.4781151749853,1519.6831256854773,1640.9821951706474,2998.298238032804,1352.3974945587333,1674.056096305903,1784.1330425797753,1855.8842446076828,2188.2194696080833,2091.457395695136,2752.0144095818455,4749.820665440805,4034.203090288867,3131.7275737677282,3704.508345949454,1757.6476988016884,1484.4178259791238,1766.2651802360024,2381.0259259152895,1416.4231108229594,2033.0643111288205,3481.8294331817438,5201.4952356281665,5251.220273053887,5096.155273,2532.555335060755,3935.469658212032,2704.939467766104,2093.9137379674357,4548.336687166719,8217.487967526737,6118.8372940534155,3037.093560265786,3168.641759873211,7298.908430942475,5887.557860363388,5595.725271865425,4939.141907540224,4899.025192,5628.454190839223,5333.677756236863,2380.365441009662,5030.3310862477365,5643.152098724695,4879.247894383327
Carcinoma_AGSCC_2_10.csv,3365.255798852204,0,1408.9392403512895,1249.0618817596762,1198.6936610945606,900.4447006911771,816.4681696,914.4843751,756.6327712775695,838.3536354,1284.509307806699,3181.3560514396763,1661.4003565885214,1139.2618523206074,981.5080171761367,670.7756461180916,1627.9733866656425,1775.5767885118255,1480.877175322006,1594.640074191717,836.1723718,1257.9566131628892,2910.816053832314,667.9277283827707,1006.9335985533357,1995.6137980815652,1534.7923418645853,1564.5475439784914,2514.739473862228,1149.0200853129122,980.7204426565058,1526.6947021337394,2012.813139383952,885.6049185333151,1446.5552022905756,1136.8116847071024,966.7204421955419,892.5070148367413,954.3725599,723.9408967147547,1679.589545557093,1907.9950968761455,1961.6463317859707,1341.5281266991683,1340.3495068573789,2617.5908727660376,3086.664525138711,766.9570671085557,2585.684580274703,3705.140958,4090.3136095779796,2432.4060382701537,2215.303113758181,1629.8451800554892,2155.8446079566843,3094.2808278774028,2154.452055343863,2037.2851577582246,3752.5563583348494,2237.902313946787,4379.733363,3908.465839759687,4672.119770283689,1770.289241379074,1198.992828286613,3403.031542101955,6650.436210486832,2246.537988,6326.611791374198,4180.972113715024,3033.1276569120714,2268.6093674960707,1452.924499292492,2942.8963253526235,4713.785745,6221.209800642356,3950.0222727552077,4123.725523739443,4137.019211428736,3769.0927075590857,5811.1572663033085,2582.567188230409,3606.7895368469676,6934.422425843277,9338.168586866428,8083.204920549851,2370.8995613805732,5705.128103225982,8905.629940369798,7351.758513325506,7328.569019391359,7022.497788653921,6750.173915624897,7220.023020290968,7013.660756,4570.432757672071,3950.373470451097,4634.560898182773,3514.068150422349
Carcinoma_AGSCC_2_11.csv,2772.170405008111,1408.9392403512895,0,1400.6634017065317,926.0621469211562,1218.9100910984412,1410.0020891413828,1035.3258100983396,1498.0415234221384,1203.08281,949.0520507105825,2489.1032410460466,1612.1970129598787,1667.780823952982,1518.9842836193195,1491.1958271758865,1750.1552448608782,1778.6060501517002,1423.9534519509816,1578.343688390891,1336.8817090436382,1146.7552676017913,2328.7020982589456,1153.1343269142556,930.2807710355893,1810.0243616453088,1344.9324112829952,1339.983542336177,2028.8316433679677,1443.9015578532021,940.1339031769865,1002.287583869552,1565.3638732733752,1021.6852995768778,1635.5606629151168,989.9537657884309,1371.195984,1165.1182791763388,1037.9831298973547,1090.145777022967,1790.6845554944675,1982.7371793745529,2017.7276941062119,1083.4562151648747,1327.6217757357178,1944.1103433543658,2459.009542507584,1323.6730374752954,2097.680385580335,3044.9585194347214,3412.4136572192688,1758.3119565302836,1643.7127443980623,1233.6714007405817,1577.8067081596062,2417.3421445967556,1751.5935348533808,1571.4568824388166,3008.3193317351515,1646.1600825314088,3787.176591721804,3347.2633322516604,4085.6223225485683,1403.4894538588928,952.8132966929265,3224.6352791698596,5889.490968984732,1822.939155892107,5590.282493,3453.842214834498,2391.5318007908672,1733.986791845325,1037.9597700059348,2216.052663806743,3943.169402953908,5491.395492047151,3775.5073707352362,3947.9913549600055,3921.335273,3035.099086743669,5076.633216,1932.3150589489305,2822.699040046108,6196.329521772109,8811.134560548577,7409.796289070566,1722.0696802337188,4938.0673002916865,8273.594223,6721.155219010732,6674.690572192189,6318.721571678898,6109.052841279572,6579.207318199479,6344.484829350132,3733.7492410574428,3762.9199070362743,4430.316088926433,3360.953982113753
Carcinoma_AGSCC_2_12.csv,2656.795544954611,1249.0618817596762,1400.6634017065317,0,1510.9622404895056,804.5087585594088,977.6838563237588,1422.486137968058,1617.2763462639073,880.0897339358356,1618.0234952715823,2519.0798163639224,1002.3612752156419,849.9483876348095,950.1717243,1158.7430329134186,2393.903120565683,2452.3122734798303,743.9651145656837,783.2623131756371,872.7916987432928,841.134535,2054.873638584862,1015.922335969521,1441.687624788049,2564.3700377268433,838.6388679485098,878.4236208327351,1575.1050363791214,949.4678099814422,1348.0474231156613,1706.3962353855877,1315.974472691537,1370.0764597764355,2224.224452764899,1543.0053946883402,1683.7792360887638,1568.0939483943105,1423.6435550871388,1171.2769609122379,2429.2466106421457,2646.216379286243,2705.561258249904,909.6429099746271,1974.1551542024142,1989.161005136235,2298.1194112622416,1001.7039509112071,1845.0536761668604,2922.0759629772356,3244.9085212356536,2208.774127136063,1853.093857300391,1320.8368007561533,1532.4776043855966,2483.800053,1559.2328915701603,2382.813564148096,3021.647675409831,1486.7613826477545,3544.8426353104915,2993.468286018688,3781.545891013208,1375.5984255122212,1214.4639402580517,3909.6661786104937,6212.616689522468,2363.490801058081,5880.942331452332,3648.4376002854706,2374.3713589591316,1684.1811933675071,1192.5272949770335,2319.3202680870786,4110.952829219266,5721.364180683278,4442.849968972601,4584.080260653387,4550.487059229801,3592.138061050547,5550.560600270095,2687.3301727774915,3327.9651277346966,6567.560356238685,9320.957171533784,7920.460414043769,2408.011747646207,5209.140837428846,8769.020646643416,7151.181653038863,7097.645292855979,6734.824092144247,6542.120918640834,7059.783289646132,6807.504480450959,4180.8167880610135,4403.288390461772,5068.276522374604,4061.8771557577056
Carcinoma_AGSCC_2_13.csv,3040.142344698428,1198.6936610945606,926.0621469211562,1510.9622404895056,0,1216.6924602284523,1369.7066607394015,952.4765033904588,1178.9898254664008,1172.6547697119236,875.9135604343621,2829.472480929601,1733.622271638286,1692.5572581413344,1496.6821409698077,1363.6870555465227,1517.2310426412773,1556.8550394136437,1649.393932,1764.7096293189068,1330.6720676880436,1313.8941547368672,2671.987054371453,1056.4264676422713,810.1921968986052,1720.857633274953,1570.644946637063,1591.541498835212,2359.1982618175075,1474.1317505480363,892.5164248681076,1102.1311960351209,1774.5056115569148,839.5409317,1322.2799322503702,915.2506724,1048.5425884806857,904.8575575753964,833.0196857556484,1020.554171747284,1597.5989751867094,1810.631764243702,1836.9376164455007,1330.403343442705,1180.612204737283,2304.064760734586,2798.2298359804695,1234.9502965594618,2386.8190889532293,3370.507708367303,3796.485940326847,2010.7832982258394,1907.9661071127832,1441.632811851811,1873.0086552493442,2728.107285297087,1978.148355029971,1523.5276690276883,3351.8996396011016,1950.3885737339167,4067.856728699674,3653.2730694158217,4370.822316381083,1531.3966838606934,1074.7542430365822,3133.0607329582335,6086.127259602811,1943.6542359474388,5759.170368793262,3742.9779100389937,2727.4442614868954,2057.1925650755843,1329.299368651654,2585.914564730797,4250.953909440472,5701.153876295421,3665.614979263138,3846.9844272089863,3873.123777279687,3157.159386103308,5213.457161089685,1978.1008799037859,3087.6796939319743,6320.865606563935,8862.770849,7523.118667205216,1832.0861762067861,5138.601117106568,8347.896411526865,6846.062565187977,6808.576332394919,6456.669207403949,6229.954472464678,6671.042638450115,6468.295049921868,3962.9840859482615,3681.9101786123406,4356.546131956236,3247.7476327684753
Carcinoma_AGSCC_2_14.csv,2860.5094717613524,900.4447006911771,1218.9100910984412,804.5087585594088,1216.6924602284523,0,806.4521674948592,1056.7206374842256,1201.5781841277987,665.7018005168741,1253.400382215188,2757.078846258506,1216.569814804962,913.0921241488313,873.9220556021652,925.6419740078338,1944.3479588302598,2000.7006509936682,1004.8105886717641,1101.3894580572705,707.1813972,956.0752484640726,2393.638701718879,755.4074659312887,1088.728130290029,2148.480582577667,1015.9793887375658,1080.4575443405374,1942.0010000434795,973.4562403260923,1048.6884040533316,1484.0616964932765,1549.4508529776813,1034.495503612764,1738.5312562240942,1229.8544939797275,1240.344649630429,1143.899708887513,1070.1977798726718,824.6723643472054,1985.403719368444,2216.1286512132506,2239.348011532977,967.2606083311559,1546.1270248953344,2181.888890984681,2602.594422367521,790.4250892378316,2119.746926563818,3205.969959010655,3574.710192524243,2150.3146564898934,1880.1195862728514,1257.0934905317608,1693.513008869869,2660.684934424666,1698.3020774891697,2051.4641198060685,3282.7463046061744,1713.5844742311351,3831.871511037453,3333.921935781249,4101.278958232103,1425.223686977919,1026.0873894391416,3510.9827579289267,6330.717771686082,2092.2191143625982,5992.730228090095,3801.720209542733,2606.0274462055145,1838.5218626557369,1139.2966521659887,2515.243641,4313.908943496248,5879.716153616686,4052.435130931434,4212.748306480016,4191.141248723908,3542.0195749495683,5551.6785303731185,2476.6054358131355,3328.441092833736,6634.518068481529,9223.611153598604,7882.755714107067,2174.9968508853917,5338.442284823432,8728.203685,7130.619058813301,7078.332628,6742.965302837336,6527.548009,7019.460594301663,6776.997084980113,4273.9535318192775,4029.081037803075,4700.206441923196,3650.437624102224
Carcinoma_AGSCC_2_15.csv,3248.8782421626975,816.4681696,1410.0020891413828,977.6838563237588,1369.7066607394015,806.4521674948592,0,1170.5254530395518,1120.0209874270804,776.7749811607073,1465.2588285062584,3061.025626152066,1243.4083811453004,836.1161310614572,642.4278217496186,669.1181049962901,2085.7585271545654,2220.1976503330184,1273.5560791803118,1277.2743863081034,760.9391491344662,1177.6616549802873,2716.9742976218595,779.0413118825305,1231.184145286526,2368.1293806101366,1308.7212277650915,1336.6973953784577,2227.7058868673166,836.9650613810868,1169.4166110054628,1715.1725001747523,1852.9900978722064,1137.4762437378427,1859.0764547890426,1364.1511165834747,1315.1011490938065,1239.179239,1158.7389146809624,934.8089305266022,2104.917701709253,2343.9671934116996,2405.758157298602,1245.5723598319878,1698.4370318840947,2505.8005986147987,2947.1774027676106,800.4667125242343,2444.8756454136096,3556.0312732218713,3893.935426047877,2437.0747577687516,2215.1100651218862,1631.4433676053884,2046.5802395590433,3025.3206140182565,2069.495357981346,2309.726781716177,3617.437342257884,2085.0770475455156,4199.162560805388,3671.1569166194718,4441.406182360598,1782.9937659919144,1324.3517123342979,3767.7173449217726,6642.5200822535635,2427.184236122243,6319.511605286415,4132.834520165465,2928.4386052139316,2181.521695014868,1439.760876090663,2818.954490163065,4650.790272194595,6207.587827,4338.178862239195,4498.326065052557,4489.038629931469,3828.4967891322854,5826.478089175427,2768.612278217364,3624.1712162005924,6937.675276710058,9436.558107,8146.993768,2540.2444472369143,5683.553470473513,8969.730909476913,7414.706301304024,7371.68575,7052.784479655647,6811.994228000999,7292.596423,7066.155560497667,4567.257646926371,4320.766502546668,4994.587913969896,3926.931518028893
Carcinoma_AGSCC_2_16.csv,3310.1233879815936,914.4843751,1035.3258100983396,1422.486137968058,952.4765033904588,1056.7206374842256,1170.5254530395518,0,907.9911638773062,1071.3082239877958,877.3993811855045,2983.983019353021,1933.1737523499564,1493.0464533886943,1386.282558293372,1040.0036198060616,1215.8796217616114,1336.636562531687,1530.3370977078878,1747.619575585544,1130.542267104519,1291.225653509157,2768.747646271404,878.1429321472992,769.7383678393245,1507.7809352654278,1523.1148116759468,1605.5477400543089,2506.2494615435803,1469.280879146801,723.7308299936105,1142.7573560032413,1974.4594968661595,738.8206799912913,1143.284384264251,859.5553108244874,871.8735014,681.3295927,853.2814216760924,690.8895022612691,1265.9244456747729,1448.350454768913,1527.149604,1159.9872368404797,906.3732162754939,2387.8342255032144,2942.886087967787,996.7814968,2480.691198093989,3596.5572778749042,3937.1875197918193,2182.877283682044,2001.3680361655495,1508.7028381514265,1959.5093266621643,2836.071419274375,2082.485534433029,1548.4388233692387,3521.3717004395367,2119.383601603782,4341.990759785382,3871.320543839827,4652.582378088235,1644.2927496754091,947.3445139652104,2913.8791239206703,6416.074618216495,1765.9670863806414,6095.5406273962235,3958.5729723028467,2816.911158116836,2064.605588978626,1217.5983231179434,2701.095659,4490.057313004084,5985.779568897274,3439.4993335513755,3632.217055984536,3626.005083035935,3459.8319515990997,5553.295847433435,2094.4505286632952,3295.616570502284,6698.397325402052,9075.802516221573,7826.735794163838,1933.5721274248965,5484.144586609174,8664.011329,7109.396506,7090.350557118667,6788.808680131123,6498.469135501431,6978.733963,6761.005365927208,4291.012381714166,3452.8930311570402,4128.065466,3000.1580026322536
Carcinoma_AGSCC_2_17.csv,3712.8255419475045,756.6327712775695,1498.0415234221384,1617.2763462639073,1178.9898254664008,1201.5781841277987,1120.0209874270804,907.9911638773062,0,1120.3681591491627,1263.5222900190272,3460.2786675922575,2001.8408792848306,1528.3714207868268,1303.9741782311412,916.4661457169238,1334.9646299972646,1585.3123896299462,1836.7484462237026,1956.6711675946933,1162.4634435395942,1525.966530797482,3247.813469297919,950.0626949084219,1030.430931561733,1770.3561506461517,1887.5667122539523,1904.2428996504827,2861.165896910506,1450.9422470341012,1067.9824036666796,1540.5846456326005,2371.3328877452445,935.007494,1156.247574450999,1081.7727053684664,892.6325711895704,798.5673707181223,947.9564443934732,862.8478625287248,1377.1343182244154,1592.0945433045429,1677.022942030515,1600.5202235923723,1109.896628478516,2868.9606274684197,3400.0013906485915,978.1988845059609,2918.547248,4036.595616841746,4412.209795698649,2638.3036472792087,2475.3559185410027,1882.1772736060523,2414.8118272943475,3310.5088029201384,2485.015693362079,1937.1838046374012,4011.541275091194,2575.0504457111997,4761.675726,4281.982243930503,5046.377528846546,2029.3264487062934,1334.731074388978,3141.832640028849,6840.646535439483,2281.909276209681,6512.072741124053,4408.103229333564,3305.7670031855614,2555.9860758736468,1701.9110991397572,3189.0114379164406,4958.095177970839,6409.579034262271,3709.436651686718,3902.4641256268274,3944.9226824158977,3877.758199233962,5958.940531775999,2554.446964180554,3764.1006869295306,7096.104593,9359.725542922302,8163.068070264593,2392.1374656250573,5931.596664969808,9001.851546650314,7481.124052402127,7459.488005898244,7165.780825372154,6867.322540828592,7344.470775389271,7120.974080784773,4733.982822954812,3742.884101865207,4431.264458495429,3278.2120240765603
Carcinoma_AGSCC_2_18.csv,2873.378083295602,838.3536354,1203.08281,880.0897339358356,1172.6547697119236,665.7018005168741,776.7749811607073,1071.3082239877958,1120.3681591491627,0,1247.3209795368698,2749.3177514840986,1170.0903113532681,935.8414841209857,863.8048024167526,882.3136871595583,1926.6290046844993,2027.1059937053096,1142.906431001737,1175.9125803724723,663.6404163,949.6602997780817,2445.441603150496,675.8481167837374,1060.3798330272314,2177.7299288154313,1092.0709204730535,1136.9354714342585,2018.717039768091,885.3611719040467,1055.6394590087616,1439.053230213255,1563.4507277821358,966.1697401612337,1691.1795545631464,1172.5562563428598,1204.1210454118766,1107.0838223589988,973.1555278731822,824.0441253927813,1981.4074497030936,2229.2553504683588,2247.2390645992164,1032.9414504644096,1566.2407718128236,2192.253769121167,2618.571761425342,715.4403330610818,2135.477693592826,3239.3186096581417,3608.7129076954125,2107.9162616702947,1874.2413617089285,1294.4465735823094,1720.607973733206,2664.892735335806,1735.7405421865126,2015.0410418411516,3260.913308422908,1776.1525917280883,3866.525568,3394.727214766393,4137.437995346839,1485.7526766656406,1025.2731984130835,3550.989150917638,6266.2673931392665,2179.122620611584,5921.205554236362,3746.4595546108294,2610.814236259409,1863.4481637627712,1145.0018615390659,2493.158381677922,4271.166825442339,5813.417625842297,4102.245204462146,4262.007040585101,4236.139627491831,3438.461381604058,5486.281585446653,2482.0596846990466,3255.3068831036917,6556.506558780948,9109.824879807698,7777.697236161734,2186.9919139592357,5279.622045371973,8627.893563265763,7043.369079464593,6995.927735903482,6655.847794519018,6434.303593854737,6925.678184159558,6688.683798,4196.594656923342,4083.760335986773,4754.750174525766,3696.3900748043375
